video_name,hip_min,hip_max,hip_rom,knee_min,knee_max,knee_rom,torso_peak,descent_time,ascent_time,rep_duration,hip_peak_velocity,knee_peak_velocity,hip_peak_acceleration,torso_stability,hip_stability,torso_angle_bottom,hip_knee_rom_ratio
76,61.93608552128804,175.1230081456827,111.55043939203975,43.55497307344575,177.4827383816428,133.92776530819705,167.31422798929904,1.1666666666666667,0.0,1.1666666666666667,151.1149663480268,174.36232901237193,1569.3866778205468,2.764302037503572,39.139670518549046,173.52322898987933,0.8329149545833372
77,63.77435033291075,176.41464500284482,112.23116076732379,43.66470068613828,176.10440032968245,132.43969964354417,163.71575714650245,1.2,0.0,1.2,153.5596715708693,159.06529549369958,1015.7032744566175,3.3667818964689253,39.20034320480118,171.97675618427252,0.8474132773026208
78,68.58396782911821,176.44087507911513,107.85690724999692,58.00719301567472,175.55293332737543,117.54574031170071,158.43253655592184,1.3333333333333333,0.0,1.3333333333333333,142.34059070427296,150.2635958998651,972.4189277425023,5.61057201007186,36.12886447146272,164.89202851694958,0.9175739252346751
79,69.56535187958067,176.3197616917089,106.5922547771959,59.90755622708059,175.56624855444744,115.65869232736685,157.60738624785475,1.3333333333333335,0.033333333333333215,1.3666666666666667,116.7072122337888,151.30829972036574,1135.027906012375,5.9083292267174405,34.9589077822777,166.38712263426495,0.9216104013512517
8,81.67303473415107,178.8326482740534,96.75269809719369,62.675086242535535,178.62788287446455,115.952796631929,156.0787832708218,2.033333333333333,0.0,2.033333333333333,125.84948620170951,174.14532931177564,1122.2597511914787,2.5520306922751033,36.91926617791077,160.11574762343122,0.8344145210218857
80,67.01205471212283,176.20882819166766,109.19677347954483,57.90370108771643,175.39845787231366,117.49475678459723,159.18971028448013,1.4,0.0,1.4,131.54429193593884,143.65629016167378,1089.7907473343273,4.44705106103071,36.95465209818503,163.21714985492346,0.9293757061037135
81,66.76155577445678,179.33894313587683,112.47365794924859,62.01776437894537,179.22086758570188,117.20310320675651,164.37847682155683,1.7,0.033333333333333215,1.7333333333333332,128.48657149519286,121.71499192656161,925.2210001264837,3.1675112566914208,40.49884906537178,170.09244384753393,0.9596474317850425
82,81.83181419773379,179.30968533885851,97.32614698919794,74.66465960103656,179.5470779649031,104.88241836386655,162.31305773035146,1.6999999999999997,0.03333333333333366,1.7333333333333334,101.92122015772334,105.04725877153712,691.9728380335134,4.1546184368522585,34.03964636393631,172.48850500098973,0.9279548238827923
83,77.12670347925601,177.53934251018507,100.23777247657443,71.35379418020683,178.11902848873726,106.76523430853042,163.10703589450065,1.6,0.0,1.6,103.15361554250713,123.88505749108178,696.1738804313447,3.3556091811277216,34.698847077279055,172.82407730410225,0.9388615328473457
84,94.04177334816251,178.28848541639707,84.17786589232159,63.538690052763016,164.40036751948315,100.86167746672014,153.0685819562724,1.0666666666666667,0.03333333333333344,1.1,151.45981922163836,142.25320406669024,1170.7867079790833,3.842946256142173,29.96282966089501,153.6628079928761,0.8345872007285358
85,93.72016244003797,178.38898273569623,84.66882029565826,63.210585854723945,166.39422243481775,103.1836365800938,154.87396233985626,1.2999999999999998,0.0,1.2999999999999998,143.798491870164,124.1733312752999,1077.3371863030634,2.807250849182596,30.569278208017977,154.87396233985626,0.8205644061534092
86,103.93523074656873,177.28565819177308,73.35042744520435,72.77843116335785,165.07562759106042,92.29719642770257,153.97187804832683,1.3666666666666667,0.0,1.3666666666666667,108.27710360843024,117.15389964595572,678.8624894533633,3.531398367582026,25.585587446032523,157.60889841861368,0.7947199859742281
87,93.66006283696386,179.58505848800797,85.90125136844951,77.35595334378576,174.00180505057773,96.64585170679197,150.49921850687124,2.166666666666667,0.0,2.166666666666667,90.73065554676678,99.22037961734141,456.3007502453891,2.291877218550282,31.741462204053654,155.1753816421381,0.8888250138271337
88,98.30334674153376,177.3160816616219,78.86626565755152,82.97496516153761,169.09939539126708,86.12443022972947,149.58895521480198,1.8666666666666665,0.0,1.8666666666666665,88.30726913642383,103.12792610054282,449.03725465994444,2.929481288647874,28.501087152472692,156.16794920593767,0.9157246617650523
89,97.89984348439552,178.67151514296805,80.77167165857253,82.43909483893566,173.6646739062155,91.22557906727985,153.8374301183656,1.8000000000000003,0.0,1.8000000000000003,81.16177209261977,86.59411905207509,523.7116461098675,3.3882514207673764,27.884625347553655,161.28008950157653,0.8854059530123299
9,80.38112863603926,178.06515049444113,97.68402185840186,62.90063970533242,177.11447655676685,114.21383685143442,156.85369635357614,1.7666666666666666,0.0,1.7666666666666666,120.45083368518365,152.5075386340173,1277.4676357886767,1.7293593191985899,36.53116200787078,158.85755539808426,0.855273088585518
90,77.14503570068068,179.59019120928008,102.43768851443944,56.07984196347047,179.29693614045866,123.21709417698818,155.89352111654074,1.6333333333333335,0.0,1.6333333333333335,138.56345214498268,146.5427145716042,621.1737730753815,4.420852348006935,38.825031100720196,155.89352111654074,0.8313593853782923
91,98.16324659180796,178.1758812774453,79.97086595492954,98.10335612479388,178.3462818137248,80.24292568893092,161.43337379349865,1.1333333333333333,0.0,1.1333333333333333,128.88165370088376,146.47979018765238,872.1106184930937,2.553479676084477,27.741625662930517,161.43337379349865,0.9966095362516368
92,84.64596483143012,175.7681689499142,91.02639048976071,43.473031136621,169.6612744698721,126.1882433332511,169.3932851776522,1.1,0.06666666666666665,1.1666666666666667,175.16218660065934,268.7793283363567,1116.0218273129367,1.6818583790578474,33.18322959904135,170.84745011684473,0.7213539658208471
93,84.47257234737648,175.73881451104657,91.09778387423032,41.78531664811758,173.7354575978622,131.95014094974462,168.86525514844487,1.2000000000000002,0.0,1.2000000000000002,165.63769664315433,231.74351848958585,1298.9832956021305,2.0016728954300795,33.312510887157046,173.0687957706995,0.6903954973305478
94,84.70850874533622,175.23387673670413,90.52536799136792,43.32803857094361,166.32342548384244,122.99538691289882,166.89791228033422,1.2333333333333336,0.0,1.2333333333333336,186.05903467723488,228.98486380484596,1317.986561680346,1.6654540807522058,32.969513814857486,168.38544861342876,0.7360061993176111
95,87.27386159315176,178.54457280087067,91.0618258405992,56.94505435961551,177.06726801769966,120.12221365808415,162.7353545902267,1.4333333333333333,0.033333333333333215,1.4666666666666666,162.4230968537654,155.80157886404916,1935.1117391521493,2.614880242509513,32.63194991612992,163.07728782002965,0.7580764815217366
