video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac
1,51.21059476101581,44.202540008163766,1.8274780594835212,0.7967926678830858,1.094500409017972,71.22249289653129,79.52453193385273,20.498776890336718,17.25615572877245,2.0,41.0,0.04878048661511,-0.5373466458670086,-0.4136277561133705,0.0
2,109.72461401996463,112.68976322847875,4.722483149533167,0.8298075843866412,0.8283860334770113,51.182640495541406,62.69758093588746,22.23963600503441,16.483239097160418,49.0,29.0,1.6896551141498235,-0.6018668481954284,-0.2650739040066104,0.25
3,26.442892794299084,33.93250290938283,3.490654571891073,0.4821341808243665,0.8201876300390759,56.17451611589121,96.9839636046655,6.856098121003208,5.569746320307841,50.0,44.0,1.1363636105371908,-0.8683214411920873,-0.8094724923986323,0.0
4,57.482105290691806,53.02197861262617,4.294918537780798,0.8557886533381347,0.902577473354458,93.82877648311786,79.49379946843433,32.47360579163851,27.60757028829438,45.0,32.0,1.406249956054689,-0.3554149851213685,-0.1683627515883456,0.0
5,69.8289046932999,71.7920359172223,3.8130797299326575,1.4587507542639104,0.5507699194391747,63.28453870955143,78.19344381143756,18.70444459023228,14.722705755456644,3.0,25.0,0.1199999952000001,-0.5660386080869032,-0.2730010429379996,0.0
6,66.81998507713766,75.10404502387667,1.7222767503906464,1.4255065925273225,0.8720736695700247,43.9594718070737,67.20359088421245,14.573445177092465,12.990058273503076,48.0,30.0,1.5999999466666683,-0.6224183164110308,-0.3548297904336364,0.3055555555555556
7,68.44721546518123,83.03966993515701,2.9691807789087123,1.227881893880405,1.203280533759622,53.992312570721054,86.6676342020513,7.356875285470086,5.309899807230991,30.0,26.0,1.1538461094674572,-0.5986619625578373,-0.3821665065179057,0.0833333333333333
8,30.89169533005493,38.85437480778428,1.1397851334992726,0.7025929410706251,1.343869585565851,62.54005970207339,81.57949231700687,18.254665706932155,15.030370904016165,60.0,33.0,1.8181817630854011,-0.7266475089849773,-0.5019100878595468,0.0
9,38.8031978728943,43.22560653959019,1.6395622198264594,0.7593573050780117,0.9886063970679222,62.58038200275045,80.44146488525614,17.027990817937553,14.68713723881515,3.0,35.0,0.0857142832653062,-0.6852943911825006,-0.5083642406833717,0.0
10,49.93744862818417,54.652058383966406,1.3093764361572102,0.8198381214439051,1.325963474438104,60.36366437569024,79.03874991693425,14.682784811336116,14.021970267579327,60.0,40.0,1.4999999625000011,-0.6901569245855711,-0.414395118627914,0.0
11,13.01779217863917,9.663167423069766,2.242571058841432,0.3435852390031905,1.290697966155998,76.75101786875607,84.63770852567576,22.577995111648363,20.735186220734654,51.0,12.0,4.249999645833364,-0.6646891776383482,-0.6485334252726977,0.0
12,58.43638581932653,65.71511118594407,0.8242741268019158,1.4484326170031367,1.455780392045518,77.09175210878942,84.00500051033946,23.20010601305679,21.689505984126946,57.0,28.0,2.0357142130102064,-0.5789315508686539,-0.2069101457363867,0.0
13,44.82052149239256,49.75829749566751,1.1279906054780895,1.220461729405641,1.1734604946239973,71.5551623209818,81.42497416833591,19.941739718688755,19.312479514649244,60.0,33.0,1.8181817630854011,-0.6040153097799776,-0.3584404409282938,0.0
14,40.15996997526298,72.52258111060806,2.8107949677476287,0.8281325881141473,2.030411085300249,65.56633559670271,121.18635781963889,9.359344302029816,7.108506282430503,36.0,28.0,1.28571423979592,-0.6796400289753424,-0.4318710146656624,0.0
15,32.9278070989518,65.4259089706442,1.7890784206368338,1.46930855096261,2.100574403829342,74.51361976859008,127.27588990415607,7.2930513211996,4.888663378948492,37.0,25.0,1.4799999408000024,-0.6036765279379197,-0.2604012904156459,0.0
16,33.87972444829347,61.71465055887906,1.385239696922103,1.2448827354715488,1.8880452630799325,71.91577607941532,125.8984224434549,7.280985891783381,5.459591732876962,44.0,25.0,1.7599999296000028,-0.619980678556939,-0.3305664031383147,0.0
17,27.00518298335885,68.67741244019525,0.719593338232004,1.4668819285248982,1.1878992955195966,63.22454710914768,128.10734137527325,6.850297810785729,5.7351310624833545,37.0,24.0,1.541666602430558,-0.6187804531459035,-0.3360392697477799,0.0
18,33.14724873301648,72.45144565459769,3.0601087984974766,1.7410677249648334,1.1467525295156928,71.23802724714402,127.4671131518746,8.267660244750973,6.242249923935739,34.0,23.0,1.4782608052930084,-0.5678337590458772,-0.2451512519901631,0.0
19,29.69720551617823,56.865427723993136,1.0826357940869096,1.8146342736895185,1.4445926115141317,88.17514557095087,132.71963931270818,7.701876067128542,6.143026449078205,40.0,23.0,1.7391303591682452,-0.5435919848232706,-0.2651761895077254,0.0
20,22.69771076090987,22.35396245385963,2.22919658662989,0.555702538398684,1.012821326903903,51.30843268970845,79.834779950338,12.747002705038762,11.980163048858824,8.0,4.0,1.999999500000125,-0.7883899498728472,-0.7260957823248099,0.0
21,30.046607332972343,33.10870272219631,1.2026826900279717,0.6026234978372966,1.0875341547454471,54.1311447078799,82.84250390027117,12.305308481903548,11.447174357240268,44.0,5.0,8.799998240000352,-0.7825783832078201,-0.7634226905198641,0.0
22,40.80137249444246,41.51616511900738,3.1095905510651414,1.0553834648232807,1.1291531904347003,55.35471506612839,80.62750652599564,13.162825707949557,12.234506259367093,6.0,38.0,0.1578947326869807,-0.7615634642419583,-0.5815085171035373,0.0
