video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac,squat_depth,lumbar_flexion,forward_lean,descent_control,ascent_sticking,foot_stability
1.0,51.51737800902012,44.145582936762665,1.4378150564062049,0.927135429299896,1.2617284672191225,72.6446819220105,79.83577481611854,19.99944121185073,17.161406560656168,2.0,31.0,0.0645161269510926,-0.5267599401216656,-0.4011495945948108,0.0,1,1,0,0,0,0
2.0,108.02332523902729,107.65777991781825,4.611740305713384,0.5866593844051151,0.8960712564252917,51.18694814111545,61.598365411643655,22.94248763646216,17.02470010079016,39.0,28.0,1.3928570931122466,-0.6038624740905586,-0.3215449702606873,0.25,2,0,0,2,0,0
3.0,27.033385045648785,34.025897312854866,4.279053351110935,0.5759723809365832,0.9611714230055032,55.94618561708474,96.81279093205346,6.682810723686424,5.555071969671594,44.0,43.0,1.0232557901568422,-0.8559655985852443,-0.8076981104323019,0.0,2,0,0,0,0,0
4.0,60.00611716340789,54.652054727719474,3.9177869482212775,1.0816239621189023,0.8411400892327833,90.59708567429844,76.86908809278178,32.33648916184463,27.26104450673641,46.0,31.0,1.4838709198751316,-0.3731823377266525,-0.1860780368526564,0.0,1,1,0,0,0,0
5.0,69.42281141402142,70.24611822022169,4.693203175552355,1.5071445329923894,0.6261598790394278,63.82787129427072,78.73041829065511,18.80017865335496,14.578251761967238,3.0,25.0,0.1199999952000001,-0.5749547775567572,-0.2818170281529139,0.0,1,0,0,1,0,0
6.0,66.19371887875477,73.12223056759763,0.9999821755867192,1.4497420877451894,0.913008622345506,44.3980480397237,66.75015017750772,14.554185248698872,12.935234780736586,45.0,29.0,1.5517240844233071,-0.6251386769908116,-0.3747362932554534,0.3333333333333333,2,2,0,0,0,0
7.0,67.59525511696307,83.15685998985974,2.8965534146062213,1.706214731711392,1.6479524555762033,57.73848168732765,90.42644704854553,7.220251671002204,5.126307735428289,29.0,30.0,0.9666666344444454,-0.5975752394658775,-0.4115866200605158,0.0,2,0,0,0,0,0
8.0,38.818313470381625,49.12028557638261,0.8850543575607035,0.6139661347221849,0.976432519833405,60.44003059274464,80.09659440351392,18.26583148457056,15.262528408208643,11.0,31.0,0.3548386982310097,-0.6933185410231508,-0.4307393162930269,0.0,1,0,0,0,0,0
9.0,41.64886207572333,47.44785324667562,1.757414861573495,0.6242552019563026,1.2400514024790874,59.899307929290174,79.05621182306159,16.912616450428928,15.091462289670634,60.0,32.0,1.874999941406252,-0.671529352990828,-0.4861923816382364,0.0,1,0,0,0,0,0
10.0,49.429885702687045,53.96907692900899,1.5193333953784984,1.0821353440482373,1.3147111053310916,58.59412255181709,77.83365126221793,15.16272771523517,14.220603651649803,60.0,32.0,1.874999941406252,-0.678031857067083,-0.4442746753251855,0.0,1,0,0,0,0,0
11.0,39.56280885782462,42.7418452556574,0.9348077190205036,1.0530685381597822,1.6266919060152978,76.94138033053336,86.38800956243952,20.39161563556144,19.582216860466737,10.0,30.0,0.3333333222222225,-0.6174635222468214,-0.396256151191078,0.0,1,0,0,0,0,0
12.0,58.4587814205056,65.59092184439596,1.556721313004064,1.5896603736870238,1.4918541020682634,76.5809250772272,84.31275955862492,22.905863455296327,21.20269252820318,60.0,28.0,2.1428570663265334,-0.5832673129703925,-0.2259236211204325,0.0,1,0,0,0,0,0
13.0,41.703807414832255,45.757596510133936,0.7283419038146381,0.9316564599229706,0.905323859667499,69.45313400385854,79.47044728215806,20.03214531246902,19.29944227135224,3.0,35.0,0.0857142832653062,-0.6244345337843009,-0.4131849636845116,0.0,1,0,0,0,0,0
14.0,37.33581571691005,68.14058803758329,3.135440502668291,0.8999508479921982,2.732772317585536,66.63515990874114,121.3130308982789,9.178683320163303,7.066363297188211,36.0,28.0,1.28571423979592,-0.6798252959471287,-0.4343760692604493,0.0,0,0,0,0,0,2
15.0,33.95665372928946,59.83656119401692,0.9477718762477608,1.2846029443447444,2.203824089550478,76.97900830501649,128.40906762919778,6.902587802667884,4.796940240979755,36.0,26.0,1.3846153313609488,-0.6089069749668174,-0.3392318199114183,0.0,0,0,0,0,0,1
16.0,32.347730807217886,58.77933712106369,1.1253683937809624,1.1223627213511946,2.273310175759111,74.09090824948714,126.00878708948906,7.5398084336814435,5.70957837144086,41.0,25.0,1.6399999344000025,-0.613990364732558,-0.3315310348167363,0.0,0,0,0,0,0,1
17.0,30.76699289919577,73.71222690184113,1.6912211444247334,1.4419175297884883,0.9933806340711452,61.23284101546109,126.8031286877854,7.383988166175829,6.185725992328631,36.0,1.0,35.999964000036,-0.6244038262684292,-0.3988884195167428,0.0,0,0,0,0,0,2
18.0,31.40894440490676,69.49660975740309,2.8432178559791126,1.724052287780185,0.7246750862220835,72.5276295451311,127.53856120307884,8.082723845766433,6.412526375478793,38.0,23.0,1.652173841209833,-0.5749560183200288,-0.2533800704212706,0.0,0,0,0,0,0,2
19.0,28.764837414933083,56.79297184129938,1.6671790951105712,1.6518433627810036,1.3498800630609202,86.75799497463971,132.49689249843374,7.752539514729732,6.282343234602874,35.0,24.0,1.458333272569447,-0.550468384378444,-0.2704221182043272,0.0,0,0,0,0,0,2
20.0,29.300658308308968,31.67458614617448,1.1043017979452934,0.6959093241987877,1.170739502336266,51.2278698442222,79.63876583423702,12.8672287350302,11.653111063761791,3.0,41.0,0.0731707299226651,-0.756805222424545,-0.6698060042478671,0.0,2,0,0,0,0,0
