video_name,valgus_min,valgus_max,valgus_variation,torso_lateral_peak,symmetry_mean,heel_wobble,heel_instability,toe_instability,knee_cave_frames,knee_cave_frac,knee_asym_mean,knee_asym_std,ankle_width_mean,ankle_width_std,hip_shift_max,hip_shift_std,sho_hip_offset_mean,sho_hip_offset_max
10,1.5535411009446247,2.4155009702507617,0.1703612063257392,3.5894775390625,1.696682133459651,0.5956693139086966,0.2984790703299709,0.6880846092316596,0.0,0.0,-0.8395047225741045,0.0236655480646599,37.58638593885634,0.6607827196136822,3.5665512084960938,1.0517058586506856,2.1255885230170355,3.5894775390625
11,1.5760477984160544,1.8185000409514596,0.0748455291831086,3.784046173095703,1.7003818623956166,0.5343797933408941,0.3502116425321191,0.3716702653390183,0.0,0.0,-0.8238643348411311,0.0135711091874753,37.46848000420464,0.3135328548387258,1.2812423706054688,0.3937969419364875,3.0000140931871204,3.784046173095703
12,0.8164724158919703,1.935972218967117,0.164012774630284,3.9241981506347656,1.6879173738004176,5.2011215932935295,0.5337647905528076,0.318797978445264,0.0,0.0,-0.8383221516547933,0.1153915518866975,36.07509083218045,6.115991524692426,2.787704467773437,0.781589337533838,2.542437977261013,3.9241981506347656
13,1.6709546240917952,151.93572636493255,25.276173206134384,3.328981399536133,4.412814433942184,5.717267941032939,0.7831556767383029,0.9710071533841352,0.0,0.0,-0.9089429962450511,0.2510834566746386,28.152317470974392,6.443744236975659,2.48896598815918,0.7157725632076651,1.5711622767978244,3.328981399536133
14,1.6180667064679557,2.367336308105568,0.2044105868460019,3.525934219360352,1.6876151392335528,1.5825174744111197,0.5128277864894224,0.4220473832505838,0.0,0.0,-0.9564238968226824,0.0629654311518807,30.51875326368544,1.1061151117814565,1.1229896545410156,0.2909980657330379,2.733158270517985,3.525934219360352
16,1.811113304345628,2.053963038788724,0.0631378480905738,1.6097068786621094,1.3843282007165374,0.9292082124938524,0.2585848509839417,0.4756445915050638,0.0,0.0,-1.0801818814622033,0.0200653920003197,41.7125129699707,0.3969055586174486,1.792888641357422,0.3839061841555415,0.6009684668646919,1.6097068786621094
17,1.812302106879526,2.0073015999121555,0.0619687078712631,1.381072998046875,1.3842443938922149,0.636254796052105,0.22950773381411,0.459726789660771,0.0,0.0,-1.0770173372372804,0.0201929297342971,41.52324994405111,0.3202679707328064,0.9611320495605468,0.2170382482783126,0.6452258427937826,1.381072998046875
19,1.7776515605967829,2.001359935756946,0.0502874819554247,1.7379188537597656,1.424676591892066,0.894610141439975,0.4394569145918072,0.6921710363608573,0.0,0.0,-1.0680188809796798,0.0290005351068778,41.88361061943902,0.4144191148405617,2.3435592651367188,0.6065975449090364,0.7199176152547201,1.7379188537597656
20,1.5762383324122191,1.6467938180233204,0.0173480941503584,2.485065460205078,1.5318054096344091,0.3149832305128857,0.4741926275957034,0.2148831301657127,0.0,0.0,-0.9913490075600476,0.0169712078972512,32.661780251397026,0.2360887626231077,1.1085700988769531,0.2827379421654808,2.176788647969564,2.485065460205078
25,1.0335469988062258,1.6238866024939655,0.1413906959617298,1.2105846405029297,1.5153815750815178,1.002600623269747,1.6386282511644552,1.0703575312487514,0.0,0.0,-0.9139411916895376,0.1854546045382961,27.908050219217937,1.380179641720337,1.819047927856445,0.4060695244592947,0.5844222174750434,1.2105846405029297
26,1.1557935441882077,1.638923065910168,0.1538368216740587,1.899003982543945,1.464944279525463,1.1358621359196044,1.941675044219772,0.6931110247439525,0.0,0.0,-1.002493263614344,0.1547892447322837,28.616956604851616,3.542004766081725,1.0776996612548828,0.2996702794279292,0.8808681699964735,1.899003982543945
27,1.1905531224143624,1.4987877045172413,0.0979878550431626,1.547651290893555,1.459108524531031,0.9609938158896488,1.2249092793373269,0.6223836768576716,0.0,0.0,-0.9310983381526174,0.1128822245892937,30.309265984429253,1.8745699131183355,1.9705486297607424,0.6390362571459511,0.7452397876315646,1.547651290893555
28,2.005961005458342,2.3537545298221576,0.0926997904886841,1.596078872680664,1.3280649437625252,0.6361854365333507,0.4281307457858379,0.1479580560157559,0.0,0.0,-1.5842424590302215,0.088394609825528,39.35586346520318,0.4362835557608899,0.7331943511962891,0.2579134019252904,0.7960157924228244,1.596078872680664
